model,min connections,accuracy,precision,recall,f1_score
Random Forest,1000,0.9927078269324259,0.99,0.99,0.99
Baseline RNN,1000,0.9426349052017501,0.94,0.94,0.94
Packet CNN-RNN,1000,0.9654837141468158,0.97,0.97,0.97
Payload CNN-RNN,1000,0.9684005833738454,0.97,0.97,0.97
IAT CNN-RNN,1000,0.9567331064657267,0.96,0.96,0.96
Ensemble CNN-RNN,1000,0.9727758872143899,0.98,0.97,0.97
Ensemble RF + CNN-RNN,1000,0.9951385512882839,1.0,1.0,1.0
Random Forest,1000,0.9931939718035975,0.99,0.99,0.99
Baseline RNN,1000,0.9421487603305785,0.95,0.94,0.94
Packet CNN-RNN,1000,0.9392318911035489,0.95,0.94,0.94
Payload CNN-RNN,1000,0.9416626154594069,0.95,0.94,0.94
IAT CNN-RNN,1000,0.9508993680116675,0.95,0.95,0.95
Ensemble CNN-RNN,1000,0.9669421487603306,0.97,0.97,0.97
Ensemble RF + CNN-RNN,1000,0.9956246961594555,1.0,1.0,1.0
Random Forest,900,0.9850427350427351,0.99,0.99,0.99
Baseline RNN,900,0.9316239316239316,0.94,0.93,0.93
Packet CNN-RNN,900,0.9675213675213675,0.97,0.97,0.97
Payload CNN-RNN,900,0.9461538461538461,0.95,0.95,0.95
IAT CNN-RNN,900,0.938034188034188,0.94,0.94,0.94
Ensemble CNN-RNN,900,0.9739316239316239,0.98,0.97,0.97
Ensemble RF + CNN-RNN,900,0.9923076923076923,0.99,0.99,0.99
Random Forest,900,0.9854700854700855,0.99,0.99,0.99
Baseline RNN,900,0.9324786324786325,0.94,0.93,0.93
Packet CNN-RNN,900,0.9611111111111111,0.97,0.96,0.96
Payload CNN-RNN,900,0.9641025641025641,0.97,0.96,0.96
IAT CNN-RNN,900,0.9521367521367521,0.95,0.95,0.95
Ensemble CNN-RNN,900,0.9811965811965812,0.98,0.98,0.98
Ensemble RF + CNN-RNN,900,0.9948717948717949,0.99,0.99,0.99
Random Forest,800,0.9809264305177112,0.98,0.98,0.98
Baseline RNN,800,0.8702316076294278,0.88,0.87,0.87
Packet CNN-RNN,800,0.9087193460490464,0.92,0.91,0.91
Payload CNN-RNN,800,0.8954359673024523,0.91,0.9,0.89
IAT CNN-RNN,800,0.8678474114441417,0.88,0.87,0.87
Ensemble CNN-RNN,800,0.9257493188010899,0.94,0.93,0.92
Ensemble RF + CNN-RNN,800,0.9826294277929155,0.98,0.98,0.98
Random Forest,800,0.9782016348773842,0.98,0.98,0.98
Baseline RNN,800,0.8661444141689373,0.88,0.87,0.86
Packet CNN-RNN,800,0.8876021798365122,0.91,0.89,0.89
Payload CNN-RNN,800,0.898841961852861,0.92,0.9,0.9
IAT CNN-RNN,800,0.8661444141689373,0.88,0.87,0.86
Ensemble CNN-RNN,800,0.920299727520436,0.93,0.92,0.92
Ensemble RF + CNN-RNN,800,0.9833106267029973,0.98,0.98,0.98
Random Forest,700,0.9755080771235018,0.98,0.98,0.98
Baseline RNN,700,0.8705054715997915,0.89,0.87,0.87
Packet CNN-RNN,700,0.8869202709744659,0.9,0.89,0.89
Payload CNN-RNN,700,0.8861386138613861,0.9,0.89,0.89
IAT CNN-RNN,700,0.8228243877019281,0.86,0.82,0.81
Ensemble CNN-RNN,700,0.8887441375716519,0.92,0.89,0.89
Ensemble RF + CNN-RNN,700,0.9755080771235018,0.98,0.98,0.98
Random Forest,600,0.9648825893801566,0.97,0.96,0.96
Baseline RNN,600,0.8356251322191665,0.86,0.84,0.83
Packet CNN-RNN,600,0.8861857414850857,0.91,0.89,0.88
Payload CNN-RNN,600,0.8874550454833933,0.9,0.89,0.89
IAT CNN-RNN,600,0.7911994922784007,0.8,0.79,0.78
Ensemble CNN-RNN,600,0.8969748254707003,0.92,0.9,0.89
Ensemble RF + CNN-RNN,600,0.9775756293632325,0.98,0.98,0.98
Random Forest,500,0.9645655270655271,0.97,0.96,0.96
Baseline RNN,500,0.8687678062678063,0.89,0.87,0.87
Packet CNN-RNN,500,0.8846153846153846,0.9,0.88,0.88
Payload CNN-RNN,500,0.8830128205128205,0.9,0.88,0.88
IAT CNN-RNN,500,0.8155270655270656,0.84,0.82,0.8
Ensemble CNN-RNN,500,0.9138176638176638,0.92,0.91,0.91
Ensemble RF + CNN-RNN,500,0.9729344729344729,0.97,0.97,0.97
Random Forest,400,0.9542513167795335,0.96,0.95,0.95
Baseline RNN,400,0.8576373212942062,0.88,0.86,0.86
Packet CNN-RNN,400,0.871331828442438,0.89,0.87,0.87
Payload CNN-RNN,400,0.8633559066967644,0.88,0.86,0.86
IAT CNN-RNN,400,0.7656884875846501,0.77,0.77,0.76
Ensemble CNN-RNN,400,0.8917983446200151,0.91,0.89,0.89
Ensemble RF + CNN-RNN,400,0.9662904439428142,0.97,0.97,0.97
Random Forest,300,0.9544559330379123,0.96,0.95,0.95
Baseline RNN,300,0.818193008370261,0.84,0.82,0.81
Packet CNN-RNN,300,0.8468734613490891,0.87,0.85,0.84
Payload CNN-RNN,300,0.8621368783850321,0.88,0.86,0.86
IAT CNN-RNN,300,0.7554160512063023,0.76,0.76,0.74
Ensemble CNN-RNN,300,0.8929098966026587,0.91,0.89,0.89
Ensemble RF + CNN-RNN,300,0.9689807976366323,0.97,0.97,0.97
Random Forest,200,0.9338772412484584,0.93,0.93,0.93
Baseline RNN,200,0.7929038990608102,0.82,0.79,0.79
Packet CNN-RNN,200,0.8225026088606394,0.85,0.82,0.82
Payload CNN-RNN,200,0.8186130348164311,0.85,0.82,0.82
IAT CNN-RNN,200,0.7050564462574709,0.74,0.71,0.69
Ensemble CNN-RNN,200,0.8592163931315815,0.88,0.86,0.86
Ensemble RF + CNN-RNN,200,0.9471587135945356,0.95,0.95,0.95
Random Forest,100,0.9243188010899183,0.93,0.92,0.92
Baseline RNN,100,0.6454359673024523,0.69,0.65,0.64
Packet CNN-RNN,100,0.7729564032697548,0.82,0.77,0.77
Payload CNN-RNN,100,0.7802452316076294,0.82,0.78,0.78
IAT CNN-RNN,100,0.6367847411444142,0.67,0.64,0.63
Ensemble CNN-RNN,100,0.8212534059945504,0.85,0.82,0.82
Ensemble RF + CNN-RNN,100,0.9370572207084469,0.94,0.94,0.94
IAT CNN-RNN,1000,0.9338842975206612,0.94,0.93,0.93
Random Forest,1000,0.9902771025765679,0.99,0.99,0.99
Baseline RNN,1000,0.9543023821098687,0.96,0.95,0.95
Payload CNN-RNN,1000,0.9669421487603306,0.97,0.97,0.97
Ensemble RF + CNN-RNN,1000,0.9936801166747691,0.99,0.99,0.99
Packet CNN-RNN,1000,0.9591638308215849,0.96,0.96,0.96
Ensemble CNN-RNN,1000,0.9737481769567331,0.98,0.97,0.97
IAT CNN-RNN,100,0.6290190735694823,0.65,0.63,0.61
Random Forest,100,0.919141689373297,0.92,0.92,0.92
Baseline RNN,100,0.7044277929155314,0.75,0.7,0.7
Payload CNN-RNN,100,0.7865122615803815,0.83,0.79,0.79
Ensemble RF + CNN-RNN,100,0.9347411444141689,0.94,0.93,0.93
Packet CNN-RNN,100,0.7720708446866485,0.82,0.77,0.77
Ensemble CNN-RNN,100,0.8255449591280654,0.86,0.83,0.82
IAT CNN-RNN,200,0.6914903709325491,0.71,0.69,0.68
Random Forest,200,0.9371976093349778,0.94,0.94,0.94
Baseline RNN,200,0.7608386301109952,0.79,0.76,0.76
Payload CNN-RNN,200,0.8283844037567594,0.86,0.83,0.83
Ensemble RF + CNN-RNN,200,0.9503842140214401,0.95,0.95,0.95
Packet CNN-RNN,200,0.8133953135376151,0.85,0.81,0.82
Ensemble CNN-RNN,200,0.8546627454700693,0.88,0.85,0.85
IAT CNN-RNN,300,0.7474150664697193,0.77,0.75,0.74
Random Forest,300,0.9515017232890202,0.95,0.95,0.95
Baseline RNN,300,0.8143771541112752,0.83,0.81,0.81
Payload CNN-RNN,300,0.8581979320531757,0.88,0.86,0.86
