model,min connections,accuracy,precision,recall,f1_score
Ensemble CNN-RNN 12,900,0.9598290598290599,0.97,0.96,0.96
Ensemble CNN-RNN 13,900,0.985897435897436,0.99,0.99,0.99
Ensemble CNN-RNN 23,900,0.9841880341880341,0.98,0.98,0.98
Ensemble CNN-RNN,900,0.976068376068376,0.98,0.98,0.98
Ensemble RF + CNN-RNN 12,900,0.9905982905982906,0.99,0.99,0.99
Ensemble RF + CNN-RNN 13,900,0.9935897435897436,0.99,0.99,0.99
Ensemble RF + CNN-RNN 23,900,0.9923076923076923,0.99,0.99,0.99
Ensemble RF + CNN-RNN,900,0.9931623931623932,0.99,0.99,0.99
Random Forest,800,0.973433242506812,0.97,0.97,0.97
Baseline RNN,800,0.8821525885558583,0.89,0.88,0.88
Packet CNN-RNN,800,0.9049727520435967,0.92,0.9,0.91
Payload CNN-RNN,800,0.9104223433242506,0.93,0.91,0.91
IAT CNN-RNN,800,0.8705722070844687,0.88,0.87,0.87
Ensemble CNN-RNN 12,800,0.912125340599455,0.93,0.91,0.91
Ensemble CNN-RNN 13,800,0.9339237057220708,0.94,0.93,0.93
Ensemble CNN-RNN 23,800,0.9325613079019074,0.94,0.93,0.93
Ensemble CNN-RNN,800,0.9233651226158038,0.94,0.92,0.92
Ensemble RF + CNN-RNN 12,800,0.9764986376021798,0.98,0.98,0.98
Ensemble RF + CNN-RNN 13,800,0.9802452316076294,0.98,0.98,0.98
Ensemble RF + CNN-RNN 23,800,0.9802452316076294,0.98,0.98,0.98
Ensemble RF + CNN-RNN,800,0.9795640326975477,0.98,0.98,0.98
Random Forest,700,0.9744658676393955,0.97,0.97,0.97
Baseline RNN,700,0.8522668056279312,0.87,0.85,0.85
Packet CNN-RNN,700,0.8955184992183429,0.91,0.9,0.9
Payload CNN-RNN,700,0.8913496612819176,0.91,0.89,0.89
IAT CNN-RNN,700,0.829077644606566,0.87,0.83,0.82
Ensemble CNN-RNN 12,700,0.8996873371547681,0.92,0.9,0.9
Ensemble CNN-RNN 13,700,0.8957790515893694,0.93,0.9,0.89
Ensemble CNN-RNN 23,700,0.8900468994267848,0.92,0.89,0.88
Ensemble CNN-RNN,700,0.9041167274622199,0.92,0.9,0.9
Ensemble RF + CNN-RNN 12,700,0.9697759249609171,0.97,0.97,0.97
Ensemble RF + CNN-RNN 13,700,0.9786347055758208,0.98,0.98,0.98
Ensemble RF + CNN-RNN 23,700,0.9786347055758208,0.98,0.98,0.98
Ensemble RF + CNN-RNN,700,0.9783741532047942,0.98,0.98,0.98
Random Forest,600,0.9695367040406178,0.97,0.97,0.97
Baseline RNN,600,0.8627036175163951,0.88,0.86,0.86
Packet CNN-RNN,600,0.8787814681616247,0.9,0.88,0.87
Payload CNN-RNN,600,0.8808969748254707,0.9,0.88,0.88
IAT CNN-RNN,600,0.8167971229109372,0.82,0.82,0.81
Ensemble CNN-RNN 12,600,0.8857626401523164,0.9,0.89,0.88
Ensemble CNN-RNN 13,600,0.8959170721387772,0.92,0.9,0.89
Ensemble CNN-RNN 23,600,0.8927438121430082,0.91,0.89,0.89
Ensemble CNN-RNN,600,0.8904167548127777,0.91,0.89,0.89
Ensemble RF + CNN-RNN 12,600,0.9716522107044637,0.97,0.97,0.97
Ensemble RF + CNN-RNN 13,600,0.9773640786968479,0.98,0.98,0.98
Ensemble RF + CNN-RNN 23,600,0.9777871800296171,0.98,0.98,0.98
Ensemble RF + CNN-RNN,600,0.9775756293632325,0.98,0.98,0.98
Random Forest,500,0.9615384615384616,0.96,0.96,0.96
Baseline RNN,500,0.8721509971509972,0.89,0.87,0.87
Packet CNN-RNN,500,0.8887108262108262,0.9,0.89,0.89
Payload CNN-RNN,500,0.8912037037037037,0.91,0.89,0.89
IAT CNN-RNN,500,0.7959401709401709,0.82,0.8,0.79
Ensemble CNN-RNN 12,500,0.8952991452991453,0.91,0.9,0.9
Ensemble CNN-RNN 13,500,0.8940527065527065,0.91,0.89,0.89
Ensemble CNN-RNN 23,500,0.8942307692307693,0.91,0.89,0.89
Ensemble CNN-RNN,500,0.8977920227920227,0.92,0.9,0.9
Ensemble RF + CNN-RNN 12,500,0.9667022792022792,0.97,0.97,0.97
Ensemble RF + CNN-RNN 13,500,0.9704415954415955,0.97,0.97,0.97
Ensemble RF + CNN-RNN 23,500,0.9702635327635327,0.97,0.97,0.97
Ensemble RF + CNN-RNN,500,0.9707977207977208,0.97,0.97,0.97
Random Forest,400,0.9568096313017306,0.96,0.96,0.96
Baseline RNN,400,0.854176072234763,0.87,0.85,0.85
Packet CNN-RNN,400,0.8776523702031602,0.89,0.88,0.88
Payload CNN-RNN,400,0.8820165537998496,0.9,0.88,0.88
IAT CNN-RNN,400,0.7781790820165538,0.81,0.78,0.77
Ensemble CNN-RNN 12,400,0.8836719337848006,0.9,0.88,0.88
Ensemble CNN-RNN 13,400,0.9005267118133935,0.91,0.9,0.9
Ensemble CNN-RNN 23,400,0.8969149736644093,0.91,0.9,0.9
Ensemble CNN-RNN,400,0.908653122648608,0.92,0.91,0.91
Ensemble RF + CNN-RNN 12,400,0.963732129420617,0.96,0.96,0.96
Ensemble RF + CNN-RNN 13,400,0.9661399548532731,0.97,0.97,0.97
Ensemble RF + CNN-RNN 23,400,0.9688487584650113,0.97,0.97,0.97
Ensemble RF + CNN-RNN,400,0.9697516930022574,0.97,0.97,0.97
Random Forest,300,0.9507631708517972,0.95,0.95,0.95
Packet CNN-RNN,300,0.8552437223042836,0.88,0.86,0.85
Payload CNN-RNN,300,0.8636139832594781,0.89,0.86,0.86
IAT CNN-RNN,300,0.7477843426883308,0.78,0.75,0.74
Ensemble CNN-RNN 12,300,0.8665681930083703,0.89,0.87,0.87
Ensemble CNN-RNN 13,300,0.8807237813884786,0.9,0.88,0.88
Ensemble CNN-RNN 23,300,0.8815854258985721,0.9,0.88,0.88
Ensemble CNN-RNN,300,0.8924175283111767,0.91,0.89,0.89
Ensemble RF + CNN-RNN 12,300,0.9591334318069916,0.96,0.96,0.96
Ensemble RF + CNN-RNN 13,300,0.9627031019202363,0.96,0.96,0.96
Ensemble RF + CNN-RNN 23,300,0.9640571147218119,0.97,0.96,0.96
Ensemble RF + CNN-RNN,300,0.9645494830132939,0.97,0.96,0.96
Random Forest,200,0.9379565506118964,0.94,0.94,0.94
Packet CNN-RNN,200,0.8287638743952187,0.86,0.83,0.83
Payload CNN-RNN,200,0.8343610663124941,0.86,0.83,0.84
IAT CNN-RNN,200,0.7145432122189546,0.75,0.71,0.7
Ensemble CNN-RNN 12,200,0.8427094203585997,0.87,0.84,0.84
Ensemble CNN-RNN 13,200,0.8607342756854188,0.88,0.86,0.86
Ensemble CNN-RNN 23,200,0.8557062897258325,0.87,0.86,0.85
Ensemble CNN-RNN,200,0.8667109382411536,0.89,0.87,0.87
Ensemble RF + CNN-RNN 12,200,0.9429845365714827,0.94,0.94,0.94
Ensemble RF + CNN-RNN 13,200,0.9474433165733801,0.95,0.95,0.95
Ensemble RF + CNN-RNN 23,200,0.9497201404041362,0.95,0.95,0.95
Ensemble RF + CNN-RNN,200,0.9506688170002846,0.95,0.95,0.95
Ensemble RF + CNN-RNN 13,100,0.9342643051771117,0.94,0.93,0.93
Payload CNN-RNN,100,0.7876702997275205,0.83,0.79,0.79
Baseline RNN,100,0.7568119891008175,0.8,0.76,0.76
Ensemble CNN-RNN 12,100,0.8014986376021799,0.84,0.8,0.8
Ensemble RF + CNN-RNN 23,100,0.9361035422343325,0.94,0.94,0.94
Random Forest,100,0.925,0.93,0.93,0.92
Ensemble CNN-RNN 23,100,0.8209128065395095,0.84,0.82,0.82
Packet CNN-RNN,100,0.7810626702997275,0.82,0.78,0.78
Ensemble CNN-RNN,100,0.8316076294277929,0.86,0.83,0.83
Ensemble RF + CNN-RNN,100,0.9369209809264305,0.94,0.94,0.94
IAT CNN-RNN,100,0.632425068119891,0.66,0.63,0.62
Ensemble CNN-RNN 13,100,0.8102179836512261,0.84,0.81,0.81
Ensemble RF + CNN-RNN 12,100,0.9253405994550409,0.93,0.93,0.92
Baseline CNN,1000,0.9188138065143413,0.93,0.92,0.92
Baseline CNN,900,0.9098290598290598,0.93,0.91,0.91
Baseline CNN,800,0.8399182561307902,0.85,0.84,0.84
Baseline CNN,700,0.8673788431474726,0.88,0.87,0.87
Baseline CNN,600,0.8536069388618575,0.87,0.85,0.85
Baseline CNN,500,0.8477564102564102,0.86,0.85,0.85
Baseline CNN,400,0.8106847253574115,0.83,0.81,0.81
Baseline CNN,300,0.7776957163958641,0.81,0.78,0.78
Baseline CNN,200,0.724219713499668,0.78,0.72,0.73
Baseline CNN,100,0.6240463215258856,0.69,0.62,0.62
